Date_Start,Start Time (Sask),Start Time (EDT),Away,Away Score,Home,Home Score,Status,Away Starter,Home Starter,Winner,Loser,Save,O/U,Over,Under,Away ML,Home ML,Home RL Spread,RL Away,RL Home
2025-03-27 16:10:00,2:10 PM,4:10 PM,Atlanta Braves,4,San Diego Padres,7,Final,Chris Sale,Michael King,Wandy Peralta,Héctor Neris,Robert Suarez,8.5,-115,-105,+150,-180,-1.5,-150,+125
2025-03-27 16:10:00,2:10 PM,4:10 PM,Atlanta Braves,4,San Diego Padres,7,Final,Chris Sale,Michael King,Wandy Peralta,Héctor Neris,Robert Suarez,7.5,-120,100,-105,-115,-1.5,-210,+175
2025-03-27 16:10:00,2:10 PM,4:10 PM,Atlanta Braves,4,San Diego Padres,7,Final,Chris Sale,Michael King,Wandy Peralta,Héctor Neris,Robert Suarez,7.5,-115,-105,-110,-110,-1.5,-230,+190
2025-03-27 16:10:00,2:10 PM,4:10 PM,Atlanta Braves,4,San Diego Padres,7,Final,Chris Sale,Michael King,Wandy Peralta,Héctor Neris,Robert Suarez,7.0,105,-125,-125,+105,+1.5,+150,-180
2025-03-27 16:10:00,2:10 PM,4:10 PM,Atlanta Braves,4,San Diego Padres,7,Final,Chris Sale,Michael King,Wandy Peralta,Héctor Neris,Robert Suarez,7.5,-115,-105,-160,+135,+1.5,+100,-120
2025-03-27 16:10:00,2:10 PM,4:10 PM,Atlanta Braves,4,San Diego Padres,7,Final,Chris Sale,Michael King,Wandy Peralta,Héctor Neris,Robert Suarez,6.5,-115,-105,-150,+125,+1.5,+125,-150
2025-03-27 16:10:00,2:10 PM,4:10 PM,Los Angeles Angels,1,Chicago White Sox,8,Final,Yusei Kikuchi,Sean Burke,Sean Burke,Yusei Kikuchi,No Save,8.5,-115,-105,+150,-180,-1.5,-150,+125
2025-03-27 16:10:00,2:10 PM,4:10 PM,Los Angeles Angels,1,Chicago White Sox,8,Final,Yusei Kikuchi,Sean Burke,Sean Burke,Yusei Kikuchi,No Save,7.5,-120,100,-105,-115,-1.5,-210,+175
2025-03-27 16:10:00,2:10 PM,4:10 PM,Los Angeles Angels,1,Chicago White Sox,8,Final,Yusei Kikuchi,Sean Burke,Sean Burke,Yusei Kikuchi,No Save,7.5,-115,-105,-110,-110,-1.5,-230,+190
2025-03-27 16:10:00,2:10 PM,4:10 PM,Los Angeles Angels,1,Chicago White Sox,8,Final,Yusei Kikuchi,Sean Burke,Sean Burke,Yusei Kikuchi,No Save,7.0,105,-125,-125,+105,+1.5,+150,-180
2025-03-27 16:10:00,2:10 PM,4:10 PM,Los Angeles Angels,1,Chicago White Sox,8,Final,Yusei Kikuchi,Sean Burke,Sean Burke,Yusei Kikuchi,No Save,7.5,-115,-105,-160,+135,+1.5,+100,-120
2025-03-27 16:10:00,2:10 PM,4:10 PM,Los Angeles Angels,1,Chicago White Sox,8,Final,Yusei Kikuchi,Sean Burke,Sean Burke,Yusei Kikuchi,No Save,6.5,-115,-105,-150,+125,+1.5,+125,-150
2025-03-27 16:10:00,2:10 PM,4:10 PM,Pittsburgh Pirates,4,Miami Marlins,5,Final,Paul Skenes,Sandy Alcantara,Jesus Tinoco,David Bednar,No Save,8.5,-115,-105,+150,-180,-1.5,-150,+125
